Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,58.535,0.017
1,1,2,57.192,0.017
1,1,3,55.729,0.018
1,1,4,52.815,0.019
1,1,5,41.925,0.024
1,2,1,115.757,0.017
1,2,2,90.175,0.022
1,2,3,60.526,0.033
1,2,4,45.404,0.044
1,2,5,34.909,0.057
1,4,1,192.735,0.021
1,4,2,108.271,0.037
1,4,3,71.756,0.056
1,4,4,53.243,0.075
1,4,5,41.971,0.095
1,8,1,233.853,0.034
1,8,2,125.623,0.064
1,8,3,83.632,0.096
1,8,4,0,0
1,8,5,0,0
1,16,1,256.489,0.062
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,32,1,0,0
1,32,2,0,0
1,32,3,0,0
1,32,4,0,0
1,32,5,0,0
1,64,1,0,0
1,64,2,0,0
1,64,3,0,0
1,64,4,0,0
1,64,5,0,0
1,128,1,0,0
1,128,2,0,0
1,128,3,0,0
1,128,4,0,0
1,128,5,0,0
1,256,1,0,0
1,256,2,0,0
1,256,3,0,0
1,256,4,0,0
1,256,5,0,0
2,1,1,58.919,0.017
2,1,2,57.335,0.017
2,1,3,55.617,0.018
2,1,4,55.395,0.018
2,1,5,53.498,0.019
2,2,1,118.225,0.017
2,2,2,113.303,0.018
2,2,3,109.982,0.018
2,2,4,85.395,0.023
2,2,5,68.761,0.029
2,4,1,232.517,0.017
2,4,2,211.198,0.019
2,4,3,137.839,0.029
2,4,4,106.02,0.038
2,4,5,82.048,0.049
2,8,1,428.674,0.019
2,8,2,244.597,0.033
2,8,3,166.335,0.048
2,8,4,121.26,0.066
2,8,5,98.242,0.081
2,16,1,482.286,0.033
2,16,2,261.195,0.061
2,16,3,175.424,0.091
2,16,4,0,0
2,16,5,0,0
2,32,1,480.683,0.067
2,32,2,0,0
2,32,3,0,0
2,32,4,0,0
2,32,5,0,0
2,64,1,0,0
2,64,2,0,0
2,64,3,0,0
2,64,4,0,0
2,64,5,0,0
2,128,1,0,0
2,128,2,0,0
2,128,3,0,0
2,128,4,0,0
2,128,5,0,0
2,256,1,0,0
2,256,2,0,0
2,256,3,0,0
2,256,4,0,0
2,256,5,0,0
3,1,1,58.365,0.017
3,1,2,58.057,0.017
3,1,3,54.506,0.018
3,1,4,52.384,0.019
3,1,5,52.636,0.019
3,2,1,116.757,0.017
3,2,2,112.909,0.018
3,2,3,112.677,0.018
3,2,4,108.089,0.019
3,2,5,103.593,0.019
3,4,1,232.79,0.017
3,4,2,235.154,0.017
3,4,3,212.115,0.019
3,4,4,165.688,0.024
3,4,5,131.199,0.03
3,8,1,468.405,0.017
3,8,2,391.974,0.02
3,8,3,265.709,0.03
3,8,4,198.855,0.04
3,8,5,163.434,0.049
3,16,1,738.324,0.022
3,16,2,428.501,0.037
3,16,3,294.545,0.054
3,16,4,214.348,0.075
3,16,5,175.126,0.091
3,32,1,771.682,0.041
3,32,2,442.982,0.072
3,32,3,287.332,0.111
3,32,4,0,0
3,32,5,0,0
3,64,1,849.868,0.075
3,64,2,0,0
3,64,3,0,0
3,64,4,0,0
3,64,5,0,0
3,128,1,1460.726,0.088
3,128,2,0,0
3,128,3,0,0
3,128,4,0,0
3,128,5,0,0
3,256,1,0,0
3,256,2,0,0
3,256,3,0,0
3,256,4,0,0
3,256,5,0,0
4,1,1,60.314,0.017
4,1,2,57.179,0.017
4,1,3,56.279,0.018
4,1,4,54.005,0.019
4,1,5,52.277,0.019
4,2,1,118.582,0.017
4,2,2,112.739,0.018
4,2,3,113.005,0.018
4,2,4,109.094,0.018
4,2,5,108.113,0.018
4,4,1,231.057,0.017
4,4,2,223.401,0.018
4,4,3,216.413,0.018
4,4,4,194.323,0.021
4,4,5,156.873,0.025
4,8,1,458.053,0.017
4,8,2,435.489,0.018
4,8,3,312.951,0.026
4,8,4,245.408,0.033
4,8,5,190.871,0.042
4,16,1,861.577,0.019
4,16,2,502.742,0.032
4,16,3,347.504,0.046
4,16,4,250.159,0.064
4,16,5,205.209,0.078
4,32,1,887.14,0.036
4,32,2,493.484,0.065
4,32,3,330.961,0.097
4,32,4,0,0
4,32,5,0,0
4,64,1,985.774,0.065
4,64,2,0,0
4,64,3,0,0
4,64,4,0,0
4,64,5,0,0
4,128,1,1619.344,0.079
4,128,2,0,0
4,128,3,0,0
4,128,4,0,0
4,128,5,0,0
4,256,1,0,0
4,256,2,0,0
4,256,3,0,0
4,256,4,0,0
4,256,5,0,0
7,1,1,57.999,0.017
7,1,2,57.697,0.017
7,1,3,54.433,0.018
7,1,4,55.06,0.018
7,1,5,53.326,0.019
7,2,1,117.386,0.017
7,2,2,113.115,0.018
7,2,3,111.189,0.018
7,2,4,109.448,0.018
7,2,5,103.02,0.019
7,4,1,235.789,0.017
7,4,2,228.87,0.017
7,4,3,221.598,0.018
7,4,4,215.388,0.019
7,4,5,201.775,0.02
7,8,1,461.337,0.017
7,8,2,435.906,0.018
7,8,3,428.956,0.019
7,8,4,376.567,0.021
7,8,5,302.513,0.026
7,16,1,909.862,0.018
7,16,2,765.111,0.021
7,16,3,565.621,0.028
7,16,4,405.944,0.039
7,16,5,347.563,0.046
7,32,1,1403.806,0.023
7,32,2,866.899,0.037
7,32,3,572.038,0.056
7,32,4,418.871,0.076
7,32,5,356.526,0.09
7,64,1,1582.699,0.04
7,64,2,956.493,0.067
7,64,3,611.176,0.105
7,64,4,0,0
7,64,5,0,0
7,128,1,1701.611,0.075
7,128,2,1753.764,0.073
7,128,3,0,0
7,128,4,0,0
7,128,5,0,0
7,256,1,1712.253,0.15
7,256,2,0,0
7,256,3,0,0
7,256,4,0,0
7,256,5,0,0